"","year","country","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure","lfpr","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index","gdp_percap","per_growth_gdp","upop","vdem_corr","icrg_qog","wbgi_gee","cofog_ggtot","time","time_squared"
"Belgium-2016","2016","Belgium",-0.972640453064686,0.347124500086185,-0.298134489405634,-0.900788615957053,-1.04416946110161,-0.320443083712146,-0.245848856175873,-0.44816196661662,0.555264101928149,1.36898531583661,2.35971378749755,2.39441765475348,2.47782598164649,2.63254952009693,2.24439937232628,0.939007772802354,-0.267972069519761,-0.926597280202225,0.582227999904114,0.313985292805975,0.223935405272248,1.14685563885516,0.344590351754547,41984.1030335609,1.26668640902095,1.30468934911136,-0.8729610293351,0.733221711148395,0.297781676275537,1.14455084546398,5,25
"Belgium-2018","2018","Belgium",-1.36780627989696,0.622261061337903,-0.361575981618681,0.246126856121886,-0.502495490950925,-0.148190214606785,-0.132630281736994,-0.514706333803346,0.531139824767827,1.23041383820795,2.23769232074161,2.26005856888017,2.2838354325251,2.35000163150526,2.15407607506099,0.867983988697174,-0.204466862413107,-0.755872411982112,0.818927456659481,0.731000714277195,0.492198356475092,1.19597278227983,0.433491287631922,47583.0749405066,1.81229599862863,1.30811909583724,-0.864680630669366,0.733221711148395,-0.0161732815643289,1.00305903393037,6,36
"Czech Republic-2008","2008","Czech Republic",0.187162759878252,0.581157144202242,-1.12686024279503,0.390043928094381,1.21282528708242,0.1309872534621,-0.911553970683853,2.45007770980133,-1.63161387616292,0.181269207392315,-1.64445976515695,-1.64588491688497,-1.52703014265938,-1.73300547645556,-1.34420462085484,-1.35292896683452,-1.23530819652216,-0.566449670853918,-0.771325204260062,-1.28918787433516,-0.14702016411988,0.522925548830252,-1.50289820147035,22804.5776774507,2.68641195092762,0.278902294817482,1.02325026511819,-0.659181504583389,-0.337529281502208,-0.624096798706175,1,1
"Czech Republic-2010","2010","Czech Republic",0.022990365791862,0.896755510991201,-1.23000397438887,-0.666209807983098,1.23932290740687,0.227172933892022,-0.9050259417048,2.33793522573196,-1.53332048134285,-0.33424142684169,-1.52261555856698,-1.52329158316644,-1.45660033909345,-1.44124547067708,-1.37139466301903,-1.00146543019322,-1.2132212069485,-0.479002282856609,-1.5018762460322,-1.56628628743031,-1.24577380856746,0.642515115429435,-1.51838464223124,19960.0684872157,2.43490215904518,0.273088455855327,0.92388548112937,-0.659181504583389,-0.557903811016501,-0.213770545258699,2,4
"Czech Republic-2012","2012","Czech Republic",0.958825816269065,0.922503979620975,-0.128602621258359,0.443162186488028,0.498226010713518,0.284782549736143,-1.03218416728217,2.05256299041622,-1.19001990053591,-0.365573045844658,-1.5253705855952,-1.52536608840202,-1.52658398131279,-1.76158158972288,-1.13266783007275,-1.04212155488744,-1.42294453593661,-0.229479984787522,-1.00641602393068,-1.07522719364328,-0.737932995041459,-0.301744170843289,-0.865981800554297,19870.8012123403,-0.785004299003617,0.270662537439464,0.849361893137756,-0.659181504583389,-0.50972431354829,-0.0722787337250866,3,9
"Czech Republic-2014","2014","Czech Republic",0.312901735495603,1.23866754914327,0.214710990694618,0.756596723486574,0.900049705511742,0.455509438260525,-1.05514497192064,2.16757566505778,-1.2847260930617,-0.624667374269123,-1.53511337780619,-1.53522584146894,-1.49813546680992,-1.42106198777782,-1.41474217782093,-1.07278194743455,-1.1343735049854,0.109485695027077,-1.49119029968354,-1.10550120744728,-1.72705222979087,-0.556939763854049,-0.426152273095236,19890.9199056648,2.26210289708078,0.278484033021644,0.807959899809081,-0.642604954435324,-0.32949815590369,-0.369411537945673,4,16
"Czech Republic-2016","2016","Czech Republic",0.418186156454896,0.62265179966588,0.808959716706618,0.641749980999809,0.383353713479432,0.414058915298462,-1.11250845843982,2.09700048232984,-1.17859191761447,-0.400603450036047,-1.35776946943237,-1.3563369450722,-1.33655193471286,-1.40852261322082,-1.12953544562679,-1.07448513098027,-0.599913093488302,0.370053846995535,-1.04973432256989,0.00486207956635309,-1.10636427661217,-0.785441257177489,-0.281076464835197,18575.2320271915,2.5372845203138,-2.78781117752749,0.749997109148937,-0.46026669809945,-0.290582166385159,-0.779737791393149,5,25
"Czech Republic-2018","2018","Czech Republic",0.201127601078055,0.822540004686027,1.2838781309677,0.180411704807498,0.0173121783768707,0.701982018067923,-1.06070315297926,1.89126415413811,-1.02407420398236,-0.611599869500106,-1.23266061283698,-1.22914217341734,-1.21353709654525,-1.3906569656918,-0.96017535276595,-0.536771398083566,-0.00659911605031319,0.645752000900106,-0.32550292648782,0.218895709689078,-0.105025194000017,-0.562278583791512,-0.26705100905175,23415.8436273041,3.1813140503092,0.295549114291854,0.816240298474816,-0.46026669809945,-0.523370438424183,-0.609947617552813,6,36
"Estonia-2008","2008","Estonia",1.7637854728972,0.456979264771031,1.55055343651545,0.459181390146059,1.3512197963023,1.37767625743107,-0.728531652700414,0.0526438361077277,0.441579373366535,-0.946232496748838,-1.56974753780974,-1.61672873672049,-1.01901411923083,-1.2802751437337,-1.68481348929339,0.246161650501286,1.36596577616815,0.213133397472258,0.267394741889697,0.617454925154488,0.236728954912589,1.18600698506323,-0.276766559151742,18227.1195304476,-5.08894290133486,0.0679728711761355,-0.715633454686138,-1.15646812694209,-0.0363103437349436,-0.79388697254651,1,1
"Estonia-2010","2010","Estonia",0.209613018735948,0.209467181073292,1.3361263674303,0.830454482640724,0.846288560324231,1.19520520500518,-0.771603606878365,-0.25356277882836,0.744559321961968,-0.115493688897256,-0.693894956483674,-0.723383336909676,-0.237875574977254,-0.673404323591416,-0.675103407620308,0.547276561100147,1.63478616065384,0.160152069709634,-0.461892370744432,0.465866007841937,-0.972577022077308,1.0648157724828,-0.0465153267068063,14790.8209234701,2.69032839901406,0.0572235430230865,-0.781876644012017,-1.15646812694209,-0.191067388073827,-0.723141066779704,2,4
