"","year","country","country_code","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","no_ed_sppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure","lfpr","egov_index","epar_index","online_ser_index","hum_cap_index","telcom_infra_index","gdp_percap","per_growth_gdp","upop","vdem_corr","icrg_qog","wbgi_gee","cofog_ggtot"
"11","2016","Belgium","BEL",0.711502313613892,0.773632824420929,0.67772114276886,0.321206527258382,0.592206478118896,0.661747634410858,0.00382916769012809,0.0834843143820763,0.276676028966904,0.636010468006134,0.43553227186203,0.398704200983047,0.398164629936218,0.35800912976265,0.446135461330414,0.387959480285645,12.3244768155155,23.2351752948959,67.6234639229809,0.7874,0.64407,0.71014,0.97124,0.68083,41984.1030335609,1.26668640902095,97919,0.025,0.8611111,1.3262135,53.1
"12","2018","Belgium","BEL",0.669840514659882,0.805404365062714,0.672985792160034,0.493160009384155,0.645278930664063,0.673084616661072,0.00524417916312814,0.0924425050616264,0.269248247146606,0.633065044879913,0.42890128493309,0.39312407374382,0.392093181610107,0.349430918693542,0.429997891187668,0.383915334939957,12.2,23.4184486491198,68.5947218210605,0.808,0.7584,0.7569,0.974,0.693,47583.0749405066,1.81229599862863,98001,0.026,0.8611111,1.1717482,52.1
"13","2008","Czech Republic","CZE",0.83377879858017,0.800657868385315,0.615864038467407,0.514737049946838,0.813343644142151,0.691458940505981,NA,0.0308117438107729,0.600181877613068,0.369006365537643,0.378697127103806,0.215590536594391,0.215590536594391,0.18091544508934,0.196799144148827,0.227282926440239,8.3076113343623,20.4434839559488,69.6723523696426,0.6696,0.20454,0.64548,0.93618,0.42792,22804.5776774507,2.68641195092762,73394,0.254,0.66666663,1.0136416,40.6
"14","2010","Czech Republic","CZE",0.816470324993134,0.837101757526398,0.608165264129639,0.356376200914383,0.815939843654633,0.697789490222931,NA,0.0313282608985901,0.587664365768433,0.381007373332977,0.354028671979904,0.221162557601929,0.221130311489105,0.184029832482338,0.213462859392166,0.226065516471863,8.92358895878928,20.5072260780251,70.1698426716958,0.60602,0.12857,0.45396,0.9429,0.4258,19960.0684872157,2.43490215904518,73255,0.242,0.66666663,0.90521771,43.5
"15","2012","Czech Republic","CZE",0.915134191513062,0.840075075626373,0.690375208854675,0.522700905799866,0.743328213691711,0.701581120491028,NA,0.0212671235203743,0.555810689926147,0.422922223806381,0.352529376745224,0.221036568284035,0.221036568284035,0.180935174226761,0.195167034864426,0.236754298210144,8.85233473040795,19.9019733796424,71.5893810510379,0.64914,0.2632,0.54248,0.88984,0.51511,19870.8012123403,-0.785004299003617,73197,0.233,0.66666663,0.92892194,44.5
"16","2014","Czech Republic","CZE",0.84703528881073,0.876584231853485,0.716000556945801,0.56969317451317,0.782698333263397,0.712817668914795,0.00054183165775612,0.0194503962993622,0.56864857673645,0.411359190940857,0.34013107419014,0.220591023564339,0.220591023564339,0.182193160057068,0.214615628123283,0.224124670028687,8.79859909698875,20.7347772265058,73.5177649890673,0.60695,0.2549,0.37007,0.8755,0.57532,19890.9199056648,2.26210289708078,73384,0.228,0.66898149,1.0175929,42.4
"17","2016","Czech Republic","CZE",0.858135282993317,0.805449485778809,0.7603560090065,0.552474558353424,0.732073187828064,0.710089564323425,NA,0.0149116264656186,0.560770869255066,0.424317508935928,0.350853085517883,0.228701084852219,0.228674694895744,0.189338341355324,0.215331807732582,0.236894547939301,8.79561408476108,22.2772074740043,75.0001434979854,0.64537,0.55932,0.47826,0.86266,0.59518,18575.2320271915,2.5372845203138,73.57,0.221,0.69444442,1.0367395,39.5
"18","2018","Czech Republic","CZE",0.835251092910767,0.828531682491302,0.795804500579834,0.483307540416718,0.696208953857422,0.729039490222931,NA,0.019010616466403,0.537806272506714,0.443183153867722,0.340756386518478,0.234422400593758,0.234422400593758,0.194778025150299,0.216352194547653,0.244477495551109,9.73801519691264,23.9894866351503,76.5685969532872,0.7084,0.618,0.6528,0.8752,0.5971,23415.8436273041,3.1813140503092,73792,0.229,0.69444442,0.92220807,40.7
"19","2008","Estonia","EST",1,0.786318361759186,0.815709471702576,0.525102615356445,0.826903343200684,0.773510932922363,NA,0.0452930144965649,0.332576721906662,0.622130274772644,0.324743390083313,0.219007179141045,0.216908052563667,0.203379780054092,0.222656592726707,0.212032467126846,11.1101895167906,27.9506511309116,74.1074192712302,0.76,0.72727,0.71237,0.97344,0.59577,18227.1195304476,-5.08894290133486,68351,0.044,0.59722221,1.1618408,39.4
"20","2010","Estonia","EST",0.8361456990242,0.757736772344971,0.799704372882843,0.580766439437866,0.777430891990662,0.761501431465149,NA,0.041885033249855,0.298397481441498,0.659122228622437,0.364496290683746,0.25906053185463,0.257276743650436,0.237921521067619,0.257317692041397,0.25724133849144,11.6379257624414,28.7264554435518,73.806007218161,0.69653,0.68571,0.50158,0.96663,0.62729,14790.8209234701,2.69032839901406,68094,0.036,0.59722221,1.0857006,39.9
"21","2012","Estonia","EST",0.947051346302032,0.742264866828918,0.771895468235016,0.560491740703583,0.788916110992432,0.734466016292572,NA,0.0197779852896929,0.286396384239197,0.693825602531433,0.367961198091507,0.254004061222076,0.253059923648834,0.232294127345085,0.265979290008545,0.245501294732094,10.2660233767812,26.1203875782037,74.8338400602544,0.79873,0.7632,0.82352,0.90847,0.66421,17534.421349913,3.12484637290247,67974,0.037,0.61574078,0.95453799,39
"22","2014","Estonia","EST",0.964754164218903,0.752832174301147,0.793669521808624,0.632014751434326,0.826915681362152,0.768090307712555,NA,0.034049566835165,0.285012662410736,0.680937767028809,0.355880081653595,0.245832115411758,0.245395317673683,0.223331987857819,0.255599141120911,0.239385530352592,10.7810154831294,28.4687578154822,75.1942239256007,0.81796,0.7647,0.77165,0.8889,0.79337,20367.103161316,2.98732482453686,68269,0.036,0.62731481,1.0166795,37.5
"23","2016","Estonia","EST",0.915400743484497,0.724262237548828,0.778271019458771,0.582596242427826,0.808276653289795,0.762837171554565,NA,0.0368483848869801,0.246390804648399,0.716760814189911,0.335226207971573,0.245036736130714,0.244714066386223,0.219697132706642,0.249966442584991,0.24164317548275,11.4552471470264,28.9794537329802,77.3680774459923,0.83344,0.81356,0.8913,0.87608,0.73295,18437.2528207173,3.18781708302028,68563,0.035,0.65277779,1.0908567,39.5
"24","2018","Estonia","EST",0.926531612873077,0.706203520298004,0.758613884449005,0.671280562877655,0.806764185428619,0.75475287437439,NA,0.0303858742117882,0.20388762652874,0.765726506710052,0.318222403526306,0.239141345024109,0.23897248506546,0.214930653572083,0.242516428232193,0.237493887543678,11.0050991695151,27.6186759755397,79.0210803450651,0.8486,0.9101,0.9028,0.8818,0.7613,23170.7073775514,4.35546476501582,68.88,0.043,0.65277779,1.1919379,39.1
"25","2008","Finland","FIN",0.916425704956055,0.869119822978973,0.651575803756714,0.383600115776062,0.777651429176331,0.757076919078827,NA,0.0686272159218788,0.39534118771553,0.536031603813171,0.37432399392128,0.302347302436829,0.302443444728851,0.260578185319901,0.314850002527237,0.289381057024002,12.8758821,26.6807868540066,76.1164499717354,0.7488,0.27272,0.6321,0.99333,0.62456,53554.0389224673,0.783995060876521,83299,0.032,1,2.0508413,47.9
"26","2010","Finland","FIN",0.877470380912226,0.953660813623239,0.661630979330576,0.420482342429025,0.830013499625274,0.775385788834922,NA,0.0445967081178472,0.327039049643178,0.62836425543682,0.386197766950884,0.328738156846749,0.328260007129073,0.283479690087867,0.350668972809098,0.320638222007023,14.2755889847926,24.6041691759265,74.6344206974128,0.6967,0.41428,0.47936,0.99333,0.62399,46459.9732548543,3.18595865407703,83.77,0.032,1,2.2293396,53.9
"27","2012","Finland","FIN",0.879857063293457,0.949529886245728,0.653328657150269,0.506087064743042,0.812885463237762,0.770354807376862,NA,0.0463284030556679,0.330450296401978,0.623221278190613,0.374770730733871,0.314136624336243,0.313717186450958,0.27210208773613,0.341189324855804,0.281085759401321,14.2952956,25.4348077211068,75.3902923644621,0.85052,0.7368,0.88235,0.9467,0.7225,47710.7902169415,-1.39754572817782,84841,0.032,0.98148149,2.2204776,55.4
"28","2014","Finland","FIN",0.871743142604828,0.942226648330688,0.659888684749603,0.413575887680054,0.833315193653107,0.771221816539764,NA,0.0427052937448025,0.328175067901611,0.629119634628296,0.386640667915344,0.330648332834244,0.330210119485855,0.284475386142731,0.350547552108765,0.323014378547668,14.1944966,24.4273402154825,75.4798052134059,0.84491,0.70588,0.77165,0.9037,0.8594,50260.2998588958,-0.364908156882066,85175,0.027,0.97222221,1.9982756,57.3
"29","2016","Finland","FIN",0.845475316047668,0.883746922016144,0.699546277523041,0.540403723716736,0.815656363964081,0.773606359958649,NA,0.0330080725252628,0.332323521375656,0.634668409824371,0.387970417737961,0.334519535303116,0.334606617689133,0.287603139877319,0.343654572963715,0.331356406211853,13.3112113,23.808610607438,76.0387223744648,0.88168,0.91525,0.94203,0.94399,0.75903,43784.2839622098,2.81145776663433,85275,0.033,0.97222221,1.8289077,55.6
"30","2018","Finland","FIN",0.877902388572693,0.901470363140106,0.705817878246307,0.561604976654053,0.809786200523376,0.776992619037628,NA,0.0178367868065834,0.339979112148285,0.64218407869339,0.375571578741074,0.311798542737961,0.311621695756912,0.268582791090012,0.31468865275383,0.31057807803154,12.208819,23.1126118703298,78.0384465724712,0.8815,1,0.9653,0.9509,0.7284,50030.8773106501,1.51758861140196,85382,0.053,0.97222221,1.9842085,53.1
"31","2008","France","FRA",0.767846584320068,0.788577854633331,0.644742369651794,0.2170470058918,0.732762575149536,0.667998075485229,0.00735324062407017,0.159485056996346,0.397534906864166,0.435626804828644,0.403206646442413,0.331391632556915,0.332843422889709,0.300871342420578,0.287653475999832,0.341053396463394,12.3771569680483,23.2225256615501,69.5489548954896,0.8038,0.93181,0.82943,0.98183,0.59921,45334.1144358246,0.254945960124005,77868,0.073,0.80555552,1.582908,53.3
"32","2010","France","FRA",0.814044415950775,0.813484489917755,0.647475838661194,0.24993871152401,0.729187786579132,0.697146892547607,0.00643308972939849,0.174817457795143,0.400303840637207,0.418445616960526,0.38323438167572,0.348564594984055,0.349253356456757,0.31803286075592,0.334123820066452,0.352341324090958,13.0206701886293,22.8898678414097,69.9842060502976,0.75103,0.6,0.68253,0.97723,0.59539,40638.33400426,1.94943762312663,78369,0.072,0.79398149,1.430301,56.9
"33","2012","France","FRA",0.82188493013382,0.778949797153473,0.724843621253967,0.486206859350204,0.631577551364899,0.695304691791534,0.00297910626977682,0.122455962002277,0.421474933624268,0.453090012073517,0.352858990430832,0.324633151292801,0.32274517416954,0.288671046495438,0.301377058029175,0.33372163772583,12.8542457789242,22.508173359041,70.4552636056489,0.86349,0.5789,0.87581,0.92442,0.79024,40874.7035053457,0.313134751077172,78878,0.073,0.77777779,1.3402793,57.1
"34","2014","France","FRA",0.826052129268646,0.807692587375641,0.706567287445068,0.452619710915321,0.658758938312531,0.700451493263245,0.00614532502368093,0.118620030581951,0.422993272542953,0.452241361141205,0.381494760513306,0.376071125268936,0.373699009418488,0.33163183927536,0.359406679868698,0.380811780691147,12.9549043732687,22.6422764227642,71.0143867349427,0.89384,0.96078,1,0.8812,0.80029,43011.2631028417,0.956183052371557,79394,0.069,0.75231481,1.4031703,57.2
"35","2016","France","FRA",0.860172927379608,0.815983533859253,0.65656566619873,0.46266966312155,0.689184010028839,0.702008664608002,0.00478187436237931,0.12437628954649,0.39152917265892,0.479312658309937,0.393450826406479,0.39269545674324,0.39106747508049,0.347234457731247,0.382648050785065,0.395117819309235,12.739122162752,22.5174492385787,71.4240297375951,0.84559,0.89831,0.94203,0.84452,0.75021,37037.3741861219,1.09546440372048,79917,0.069,0.77777779,1.4052522,56.6
"36","2018","France","FRA",0.869774699211121,0.775671482086182,0.660159289836884,0.503913998603821,0.683810353279114,0.69965648651123,0.0229912772774696,0.111482128500938,0.404080212116241,0.46144637465477,0.351752251386642,0.349256724119186,0.347544491291046,0.314915776252747,0.32110595703125,0.360205262899399,12.6093522223533,22.450108105225,71.935097622364,0.879,0.9663,0.9792,0.8598,0.7979,41631.0907389044,1.79286392711333,80444,0.079,0.75,1.4805259,56
"37","2008","Greece","GRC",0.574173867702484,0.670731127262115,0.607810139656067,0.17583179473877,0.675786077976227,0.535376667976379,0.00473527563735843,0.112081848084927,0.26336732506752,0.619815528392792,0.371285080909729,0.308093637228012,0.308093637228012,0.203960239887238,0.311190664768219,0.306211292743683,11.5897351130212,22.7940280069245,66.6594250418162,0.5718,0.0909,0.41471,0.96979,0.33561,31997.2820241039,-0.335172452094639,75568,0.396,0.6111111,0.58529228,50.8
"38","2010","Greece","GRC",0.627184152603149,0.675342679023743,0.589642345905304,0.284844011068344,0.70891797542572,0.553234875202179,0.0067098974250257,0.088822066783905,0.235152795910835,0.669315218925476,0.371059626340866,0.337336897850037,0.32979828119278,0.220441862940788,0.296965926885605,0.348107576370239,12.4168808703231,23.6612261414986,67.8365442864342,0.57075,0.25714,0.35555,0.98036,0.38287,26917.7589549077,-5.47903689372846,76292,0.39,0.6111111,0.55603933,52.5
"39","2012","Greece","GRC",0.630233705043793,0.724551260471344,0.63325047492981,0.0621095634996891,0.518613219261169,0.524549067020416,0.00334717729128897,0.0756818577647209,0.249518290162086,0.671452641487122,0.351199984550476,0.347080409526825,0.340499490499496,0.225015804171562,0.325452864170074,0.34785583615303,12.8198154850317,24.2991395376502,67.4698496124806,0.68716,0.3421,0.57516,0.93317,0.55314,22242.681946404,-7.30049406220242,77004,0.378,0.6111111,0.31980017,55.8
"40","2014","Greece","GRC",0.597793936729431,0.63617879152298,0.56408429145813,0.140140518546104,0.590189337730408,0.511137306690216,NA,0.0692241340875626,0.218941569328308,0.711834311485291,0.34957292675972,0.331893712282181,0.326016247272491,0.21531879901886,0.30783399939537,0.332946687936783,12.2386037972416,24.3852116210338,67.4265045723134,0.71176,0.80392,0.60629,0.8741,0.65487,21760.9797507704,0.739776853966688,77702,0.231,0.61342591,0.39858639,50.3
"41","2016","Greece","GRC",0.601970195770264,0.538963198661804,0.577907204627991,0.194384694099426,0.520821690559387,0.515816450119019,0.00069918710505589,0.0748329609632492,0.222034111618996,0.70243376493454,0.347187548875809,0.331598728895187,0.326381057500839,0.222385376691818,0.305446654558182,0.332260608673096,12.1453016635692,24.8278965639342,68.2165417149119,0.691,0.61017,0.57971,0.89012,0.60318,18116.4596531285,-0.190952352057238,78387,0.213,0.6388889,0.22667781,49
"42","2018","Greece","GRC",0.562166690826416,0.701271057128906,0.624793469905853,0.235721483826637,0.638290822505951,0.531320035457611,0.00042541028233245,0.0594068840146065,0.236912399530411,0.703255295753479,0.337715238332748,0.321319222450256,0.317463248968124,0.222614243626595,0.26297527551651,0.329915672540665,11.9974694122305,24.7114818601006,68.1762081430427,0.7833,0.8764,0.8194,0.8867,0.6439,20324.3049917812,1.93437065932918,79058,0.284,0.6388889,0.33826089,47
"43","2008","Hungary","HUN",0.936244368553162,0.6973916888237,0.731965601444244,0.346650272607803,0.817912995815277,0.684280514717102,NA,0.0752661973237991,0.412852048873901,0.511881768703461,0.38625630736351,0.243137747049332,0.243025213479996,0.212594032287598,0.223104640841484,0.259437412023544,11.3367468778534,23.3901873097809,61.1988128174319,0.6494,0.20454,0.61705,0.96043,0.37162,15753.4732840195,1.0582892500439,67943,0.338,0.6388889,0.70731896,48.8
"44","2010","Hungary","HUN",0.93189400434494,0.641060352325439,0.748698353767395,0.469959765672684,0.828784048557281,0.685093522071838,0.00211238046176732,0.0938192382454872,0.404199689626694,0.499868720769882,0.387160241603851,0.276715934276581,0.276401877403259,0.228627279400826,0.275222152471542,0.277397632598877,10.7841772067974,21.9022951184113,61.9180522460364,0.63147,0.31428,0.50476,0.9597,0.4338,13191.6212644696,1.12217824979848,68911,0.383,0.6388889,0.66666961,49.2
"45","2012","Hungary","HUN",0.92894971370697,0.623360991477966,0.732005596160889,0.590205192565918,0.805924952030182,0.691170692443848,0.00127472425810993,0.0876958966255188,0.396990656852722,0.514038681983948,0.393876284360886,0.283164918422699,0.282717049121857,0.241650342941284,0.275388687849045,0.286631524562836,9.9006520398273,20.4263778136499,63.713363810961,0.72014,0.4474,0.68627,0.9065,0.56766,12950.6865153085,-1.38062332775523,69678,0.437,0.6388889,0.62884176,49.4
"46","2014","Hungary","HUN",0.871942341327667,0.652273058891296,0.725558459758759,0.4870226085186,0.789512693881989,0.676172137260437,0.00018104074115399,0.117326401174068,0.343326240777969,0.539166331291199,0.406800001859665,0.292890936136246,0.292864859104156,0.259860694408417,0.295523911714554,0.291234940290451,10.2542016455975,20.7629972530465,66.9829083439215,0.66374,0.45098,0.55905,0.8668,0.56536,14267.0121547683,4.22895073481537,70227,0.456,0.6388889,0.53344369,50.2
"47","2016","Hungary","HUN",0.91875422000885,0.659539997577667,0.724401891231537,0.479293167591095,0.757785320281982,0.666137516498566,0.00174407206941396,0.134634301066399,0.342584669589996,0.521036982536316,0.385631531476974,0.298564225435257,0.298401325941086,0.265444666147232,0.322655230760574,0.276955425739288,10.8816316149383,23.256275541345,70.1349197774034,0.67455,0.49153,0.63043,0.8317,0.5615,13090.5067287853,2.13999571174807,70779,0.468,0.6388889,0.46430165,47.2
"48","2018","Hungary","HUN",0.879868686199188,0.648479640483856,0.736260533332825,0.443658441305161,0.813303828239441,0.694157958030701,NA,0.148970767855644,0.347529649734497,0.503499567508698,0.364483952522278,0.293958336114883,0.293823182582855,0.261487156152725,0.313614696264267,0.284097909927368,10.5995426847707,22.3779116435021,71.9434422681268,0.7265,0.7079,0.7361,0.8364,0.6071,16410.1872639683,5.40529410393094,71351,0.482,0.6388889,0.48731089,46.7
"49","2008","Iceland","ISL",0.948106348514557,0.723913788795471,0.722154021263123,0.646776497364044,0.829550623893738,0.730787396430969,NA,0.197794705629349,0.238998085260391,0.56320720911026,0.367006301879883,0.300516903400421,0.299556285142899,0.253574788570404,0.320256024599075,0.288468092679977,13.7293421748814,25.1933839272196,86.8720539214966,0.7176,0.06818,0.46153,0.97789,0.72099,56409.7731130165,1.99198082855523,93395,0.018,0.97222221,1.8318096,43.5
"50","2010","Iceland","ISL",0.923004329204559,0.768908262252808,0.741218209266663,0.631936013698578,0.716922342777252,0.728145241737366,NA,0.185491397976875,0.237988919019699,0.576519668102264,0.47389680147171,0.378308713436127,0.377631187438965,0.328015089035034,0.370478183031082,0.381847381591797,13.5740343161842,28.4066096262795,85.4623988397658,0.66971,0.04285,0.39682,0.9811,0.63948,43024.9234930663,-3.43587559404847,93574,0.018,0.97222221,1.5857315,51.9
"51","2012","Iceland","ISL",0.979637742042542,0.819247901439667,0.729966223239899,0.639017164707184,0.742750346660614,0.746717274188995,NA,0.159082815051079,0.233536258339882,0.607380926609039,0.435050368309021,0.354223430156708,0.352407187223434,0.304482012987137,0.350340306758881,0.353604912757874,13.6138450936864,31.0606338116988,85.4982171721974,0.78354,0.1579,0.54248,0.93099,0.87716,45910.0205425261,1.29643760789892,93.6,0.018,0.9537037,1.4910278,43.8
"52","2014","Iceland","ISL",0.871785879135132,0.761496245861053,0.762960255146027,0.640191853046417,0.7266526222229,0.735612750053406,NA,0.172684907913208,0.236511930823326,0.590803146362305,0.453710526227951,0.366517305374146,0.365947723388672,0.318600386381149,0.356278240680695,0.371408849954605,13.501871579368,30.8277529662678,86.6720524704897,0.797,0.49019,0.61417,0.9178,0.85906,54241.9346445558,2.0826231642619,93667,0.021,0.93518519,1.4913999,43.8
"53","2016","Iceland","ISL",0.979637742042542,0.819247901439667,0.729966223239899,0.639017164707184,0.742750346660614,0.746717274188995,NA,0.159082815051079,0.233536258339882,0.607380926609039,0.435050368309021,0.354223430156708,0.352407187223434,0.304482012987137,0.350340306758881,0.353604912757874,13.6086671802906,31.0389462430698,89.0493083608211,0.76619,0.66102,0.62319,0.89401,0.78137,61466.8039542895,6.62703663431921,93735,0.021,0.94444442,1.3857321,44.5
"54","2018","Iceland","ISL",0.923545241355896,0.905001580715179,0.773628354072571,0.698471128940582,0.76344221830368,0.773480892181396,NA,0.155518233776093,0.232695266604424,0.611786484718323,0.41639256477356,0.346899926662445,0.34458714723587,0.299118399620056,0.353446692228317,0.339508861303329,13.1099531282383,30.9222653940672,87.2831715536119,0.8316,0.6854,0.7292,0.9365,0.8292,72968.7042280499,3.81442300431327,93813,0.022,0.94444442,1.4656547,42
"55","2008","Ireland","IRL",0.799139618873596,0.529088795185089,0.683452963829041,0.338752537965775,0.547654509544373,0.668976783752441,0.00076925859320908,0.206041723489761,0.179853335022926,0.61333566904068,0.358060449361801,0.325418174266815,0.32343253493309,0.270095705986023,0.363937586545944,0.307162553071976,11.2941245393153,27.0128463973403,74.7971165807262,0.7296,0.25,0.67558,0.99315,0.5217,61262.1004631517,-4.48038347614992,61141,0.063,0.8611111,1.5002383,41.8
"56","2010","Ireland","IRL",0.835143864154816,0.349545896053314,0.746896028518677,0.372441649436951,0.606236338615417,0.675731003284454,0.00180884753353894,0.166334435343742,0.151173919439316,0.680682778358459,0.345403373241425,0.328783631324768,0.326260089874268,0.267837882041931,0.379836678504944,0.297652572393417,11.5035477908294,17.6852900950055,71.5707623696868,0.68655,0.44285,0.49841,0.9931,0.57386,48715.1769134801,1.80997931190268,61542,0.051,0.8611111,1.349588,65.1
"57","2012","Ireland","IRL",0.881387531757355,0.569310545921326,0.715611755847931,0.359489917755127,0.414690017700195,0.678432106971741,0.00406826287508011,0.127865105867386,0.156802266836166,0.711264371871948,0.335298359394073,0.31538051366806,0.313859432935715,0.26729229092598,0.330550283193588,0.3043252825737,10.8467520899,25.8050624691797,71.1303466726653,0.71492,0.1316,0.53594,0.9535,0.65533,48917.8976130459,0.225714790371583,61942,0.043,0.87962961,1.5471284,42.1
"58","2014","Ireland","IRL",0.815172553062439,0.47015255689621,0.741667151451111,0.482479482889175,0.381422132253647,0.689629912376404,NA,0.114152818918228,0.139496698975563,0.746350467205048,0.333175003528595,0.324037998914719,0.323317468166351,0.271227329969406,0.366402804851532,0.303474128246307,9.415709254218,25.1391371715938,71.8463253878724,0.781,0.64705,0.67716,0.9619,0.70391,55492.982562275,8.55668815348987,62.34,0.046,0.8912037,1.5971045,37.5
