"","year","country_code","code_2","country","region","eu_member","ggov_spending"
"95","2008","SVK","SK","Slovak Republic","Eastern","EU",36.9943467709407
"96","2010","SVK","SK","Slovak Republic","Eastern","EU",42.1433026715354
"97","2012","SVK","SK","Slovak Republic","Eastern","EU",40.9143357183212
"98","2014","SVK","SK","Slovak Republic","Eastern","EU",43.2791883980185
"99","2016","SVK","SK","Slovak Republic","Eastern","EU",42.6805308067159
"100","2018","SVK","SK","Slovak Republic","Eastern","EU",41.9201361757566
"101","2008","ESP","ES","Spain","Southern","EU",41.4426325841046
"102","2010","ESP","ES","Spain","Southern","EU",46.0343858399622
"103","2012","ESP","ES","Spain","Southern","EU",48.6556577011519
"104","2014","ESP","ES","Spain","Southern","EU",45.1142170094113
"105","2016","ESP","ES","Spain","Southern","EU",42.4417331034978
"106","2018","ESP","ES","Spain","Southern","EU",41.6442389853858
"107","2008","GBR","GB","United Kingdom","Anglo-Saxon","EU",44.3473341978872
"108","2010","GBR","GB","United Kingdom","Anglo-Saxon","EU",47.2546227429551
"109","2012","GBR","GB","United Kingdom","Anglo-Saxon","EU",45.6043160003972
"110","2014","GBR","GB","United Kingdom","Anglo-Saxon","EU",43.063046428142
"111","2016","GBR","GB","United Kingdom","Anglo-Saxon","EU",41.53396580559
"112","2018","GBR","GB","United Kingdom","Anglo-Saxon","EU",40.984652104406
"113","2008","EST","EE","Estonia","Eastern","EU",39.402494962447
"114","2010","EST","EE","Estonia","Eastern","EU",39.9503353182935
"115","2012","EST","EE","Estonia","Eastern","EU",38.9540877034097
"116","2014","EST","EE","Estonia","Eastern","EU",37.5178589661803
"117","2016","EST","EE","Estonia","Eastern","EU",39.0516140038087
"118","2018","EST","EE","Estonia","Eastern","EU",39.2514899818793
"119","2008","SVN","SI","Slovenia","Eastern","EU",45.0525660633084
"120","2010","SVN","SI","Slovenia","Eastern","EU",50.1759582179419
"121","2012","SVN","SI","Slovenia","Eastern","EU",49.3545244184824
"122","2014","SVN","SI","Slovenia","Eastern","EU",50.8422478014186
"123","2016","SVN","SI","Slovenia","Eastern","EU",46.1443017924484
"124","2018","SVN","SI","Slovenia","Eastern","EU",43.4446868555299
"125","2008","LVA","LV","Latvia","Eastern","EU",37.6190770927925
"126","2010","LVA","LV","Latvia","Eastern","EU",45.1732719619667
"127","2012","LVA","LV","Latvia","Eastern","EU",37.6922204581538
"128","2014","LVA","LV","Latvia","Eastern","EU",38.0592625278914
"129","2016","LVA","LV","Latvia","Eastern","EU",36.4355089342834
"130","2018","LVA","LV","Latvia","Eastern","EU",38.517268519397
"131","2008","LTU","LT","Lithuania","Eastern","EU",38.1331740317512
"132","2010","LTU","LT","Lithuania","Eastern","EU",42.3823593540043
"133","2012","LTU","LT","Lithuania","Eastern","EU",36.1334067820667
"134","2014","LTU","LT","Lithuania","Eastern","EU",34.6983465922401
"135","2016","LTU","LT","Lithuania","Eastern","EU",34.1850271292417
"136","2018","LTU","LT","Lithuania","Eastern","EU",33.8798369166037
