"","year","country_code","code_2","country","region","eu_member","fpu_em_clerks","fpu_em_elem_ocupation","fpu_em_professional","fpu_em_senior_official","fpu_em_technician","fsppaid_em","no_ed_sppaid_em","pri_ed_sppaid_em","sec_ed_sppaid_em","ter_ed_sppaid_em","tot_em_ter_ed_wpsec","psec_sformal_em","psec_spaid_em","psec_stotal_em","psec_spaid_em_rural","psec_spaid_em_urban","wbill_per_gdp","wbill_per_pub_expenditure"
"19","2008","CZE","CZ","Czech Republic","Eastern","EU",0.83377879858017,0.800657868385315,0.615864038467407,0.495782107114792,0.813343644142151,0.691458940505981,0,0.0308117438107729,0.600181877613068,0.369006365537643,0.378697127103806,0.215590536594391,0.215590536594391,0.18091544508934,0.196799144148827,0.227282926440239,8.3076113343623,20.4434839559488
"20","2010","CZE","CZ","Czech Republic","Eastern","EU",0.816470324993134,0.837101757526398,0.608165264129639,0.356376200914383,0.815939843654633,0.697789490222931,0,0.0313282608985901,0.587664365768433,0.381007373332977,0.354028671979904,0.221162557601929,0.221130311489105,0.184029832482338,0.213462859392166,0.226065516471863,8.92358895878928,20.5072260780251
"21","2012","CZE","CZ","Czech Republic","Eastern","EU",0.915134191513062,0.840075075626373,0.690375208854675,0.522700905799866,0.743328213691711,0.701581120491028,0,0.0212671235203743,0.555810689926147,0.422922223806381,0.352529376745224,0.221036568284035,0.221036568284035,0.180935174226761,0.195167034864426,0.236754298210144,8.85233473040795,19.9019733796424
"22","2014","CZE","CZ","Czech Republic","Eastern","EU",0.84703528881073,0.876584231853485,0.716000556945801,0.575081825256348,0.782698333263397,0.712817668914795,0.00054183165775612,0.0194503962993622,0.56864857673645,0.411359190940857,0.34013107419014,0.220591023564339,0.220591023564339,0.182193160057068,0.214615628123283,0.224124670028687,8.79859909698875,20.7347772265058
"23","2016","CZE","CZ","Czech Republic","Eastern","EU",0.858135282993317,0.805449485778809,0.7603560090065,0.552474558353424,0.732073187828064,0.710089564323425,0,0.0149116264656186,0.560770869255066,0.424317508935928,0.350853085517883,0.228701084852219,0.228674694895744,0.189338341355324,0.215331807732582,0.236894547939301,8.79561408476108,22.2772074740043
"24","2018","CZE","CZ","Czech Republic","Eastern","EU",0.835251092910767,0.828531682491302,0.795804500579834,0.483307540416718,0.696208953857422,0.729039490222931,0,0.019010616466403,0.537806272506714,0.443183153867722,0.340756386518478,0.234422400593758,0.234422400593758,0.194778025150299,0.216352194547653,0.244477495551109,9.73801519691264,23.9894866351503
"25","2008","AUT","AT","Austria","Continental","EU",0.665874719619751,0.643353760242462,0.619053959846497,0.173858270049095,0.647020280361176,0.624116718769073,0,0.0813656747341156,0.412497609853745,0.50613671541214,0.326713413000107,0.243393898010254,0.243167236447334,0.210103750228882,0.224738746881485,0.255314588546753,10.6445628245188,21.3442049087138
"26","2010","AUT","AT","Austria","Continental","EU",0.696945011615753,0.652138292789459,0.662354946136475,0.2621228992939,0.677313089370728,0.650931239128113,0.00368830934166908,0.102274999022484,0.419475883245468,0.474560797214508,0.332960993051529,0.257370829582214,0.257284641265869,0.226423367857933,0.226799890398979,0.276203066110611,11.1663331041992,21.1341983987522
"27","2012","AUT","AT","Austria","Continental","EU",0.779253661632538,0.825172483921051,0.642128884792328,0.382479637861252,0.697903573513031,0.669494867324829,0.00152309448458254,0.0986503139138222,0.403843224048615,0.495983392000198,0.336883157491684,0.267116785049438,0.267291128635406,0.233362630009651,0.231497704982758,0.2935930788517,10.7384582167881,20.9682210865174
"28","2014","AUT","AT","Austria","Continental","EU",0.802977561950684,0.809923350811005,0.656488537788391,0.397441864013672,0.69207900762558,0.671663761138916,0,0.0913518741726875,0.416252255439758,0.492395877838135,0.334772676229477,0.275121122598648,0.275307357311249,0.241049066185951,0.25267031788826,0.291682183742523,10.6137037173781,20.2842386599686
"29","2016","AUT","AT","Austria","Continental","EU",0.785174787044525,0.753094732761383,0.648612320423126,0.2621228992939,0.701095163822174,0.662874579429626,0,0.0680781677365303,0.401050537824631,0.530871331691742,0.338772535324097,0.273668766021729,0.27309775352478,0.240612119436264,0.246655523777008,0.291112512350082,10.6576228898915,21.2231059951781
"30","2018","AUT","AT","Austria","Continental","EU",0.810510158538818,0.781804025173187,0.669824659824371,0.397441864013672,0.612852513790131,0.659428358078003,0,0.072533905506134,0.373301565647125,0.554164528846741,0.333214044570923,0.274246662855148,0.273703187704086,0.241443991661072,0.260634779930115,0.281549215316772,10.4328511526531,21.5275164048783
"31","2008","BEL","BE","Belgium","Continental","EU",0.726276993751526,0.802998423576355,0.64581698179245,0.239657700061798,0.671267330646515,0.64827686548233,0.0101033644750714,0.12186948210001,0.280197978019714,0.587829172611237,0.443930238485336,0.385530084371567,0.385530084371567,0.342832326889038,0.411500155925751,0.384308308362961,11.8331045624262,23.5340706746729
