"","year","country_code","code_2","country","region","eu_member","gdp_percap","per_growth_gdp","upop"
"90","2018","IRL","IE","Ireland","Anglo-Saxon","EU",78621.2279310086,8.16987071841437,63.17
"91","2008","ISL","IS","Iceland","Nordic","Non-EU",56409.7731130165,1.99198082855523,93395
"92","2010","ISL","IS","Iceland","Nordic","Non-EU",43024.9234930663,-3.43587559404847,93574
"93","2012","ISL","IS","Iceland","Nordic","Non-EU",45910.0205425261,1.29643760789892,93.6
"94","2014","ISL","IS","Iceland","Nordic","Non-EU",54241.9346445558,2.0826231642619,93667
"95","2016","ISL","IS","Iceland","Nordic","Non-EU",61466.8039542895,6.62703663431921,93735
"96","2018","ISL","IS","Iceland","Nordic","Non-EU",72968.7042280499,3.81442300431327,93813
"97","2008","ITA","IT","Italy","Southern","EU",40778.3427367209,-0.962012840579291,68092
"98","2010","ITA","IT","Italy","Southern","EU",36000.5201179254,1.71329583916922,68327
"99","2012","ITA","IT","Italy","Southern","EU",35053.5262442572,-2.98090576823772,68684
"100","2014","ITA","IT","Italy","Southern","EU",35518.4152916749,-0.00454754236383792,69272
"101","2016","ITA","IT","Italy","Southern","EU",30939.7142462298,1.29346273155907,69855
"102","2018","ITA","IT","Italy","Southern","EU",34615.7568910987,0.944089468582305,70438
"103","2008","LTU","LT","Lithuania","Eastern","EU",14944.996652175,2.61442303328732,66848
"104","2010","LTU","LT","Lithuania","Eastern","EU",11990.6630177633,1.65124065328366,66757
"105","2012","LTU","LT","Lithuania","Eastern","EU",14373.060522928,3.8438647490634,66864
"106","2014","LTU","LT","Lithuania","Eastern","EU",16564.9565494076,3.53700987901611,67108
"107","2016","LTU","LT","Lithuania","Eastern","EU",14998.1250595137,2.51882827307178,67366
"108","2018","LTU","LT","Lithuania","Eastern","EU",19176.1765182085,3.9368459012309,67679
"109","2008","LUX","LU","Luxembourg","Continental","EU",114293.84332087,-1.27958624140669,87.8
"110","2010","LUX","LU","Luxembourg","Continental","EU",104965.306078267,4.86496897912487,88547
"111","2012","LUX","LU","Luxembourg","Continental","EU",106749.013622989,-0.352520089272659,89249
"112","2014","LUX","LU","Luxembourg","Continental","EU",118823.648368575,4.29678630500703,89884
"113","2016","LUX","LU","Luxembourg","Continental","EU",104278.390971905,4.57460105103911,90.46
"114","2018","LUX","LU","Luxembourg","Continental","EU",116654.26106674,3.11083626560442,90981
"115","2008","LVA","LV","Latvia","Eastern","EU",16422.1119788425,-3.32730003999858,67834
"116","2010","LVA","LV","Latvia","Eastern","EU",11383.5224134721,-4.4068236355224,67841
"117","2012","LVA","LV","Latvia","Eastern","EU",13926.3473076523,4.25172304811186,67897
"118","2014","LVA","LV","Latvia","Eastern","EU",15713.536972819,1.07363408715679,67952
"119","2016","LVA","LV","Latvia","Eastern","EU",14315.7928949778,2.37292412754951,68021
"120","2018","LVA","LV","Latvia","Eastern","EU",17858.2799784486,4.02431104454983,68142
"121","2008","POL","PL","Poland","Eastern","EU",13996.0251506835,4.19996229248767,61116
"122","2010","POL","PL","Poland","Eastern","EU",12613.0109954681,3.74051777907684,60892
"123","2012","POL","PL","Poland","Eastern","EU",13097.2708482174,1.32489082785044,60654
"124","2014","POL","PL","Poland","Eastern","EU",14271.3058536202,3.37857807264132,60403
"125","2016","POL","PL","Poland","Eastern","EU",12447.4395912808,3.14173122907013,60178
"126","2018","POL","PL","Poland","Eastern","EU",15468.4822194105,5.353704746044,60058
"127","2008","PRT","PT","Portugal","Southern","EU",24847.545135091,0.319247925063081,59359
"128","2010","PRT","PT","Portugal","Southern","EU",22498.6908586557,1.73762547590566,60567
"129","2012","PRT","PT","Portugal","Southern","EU",20564.8898617969,-4.05729360769561,61763
"130","2014","PRT","PT","Portugal","Southern","EU",22074.3007634216,0.792190301875365,62936
"131","2016","PRT","PT","Portugal","Southern","EU",19978.401214968,2.01948539561312,64086
"132","2018","PRT","PT","Portugal","Southern","EU",23562.5545228191,2.84932594937632,65211
"133","2008","ROU","RO","Romania","Eastern","EU",10435.0439841037,9.30746717077338,53567
"134","2010","ROU","RO","Romania","Eastern","EU",8214.07689289811,-3.90123628018621,53829
"135","2012","ROU","RO","Romania","Eastern","EU",8507.10477456436,2.04066513079732,53974
"136","2014","ROU","RO","Romania","Eastern","EU",10043.6774497614,3.60872365319838,53.9
"137","2016","ROU","RO","Romania","Eastern","EU",9548.58740298268,4.70299774749441,53.9
"138","2018","ROU","RO","Romania","Eastern","EU",12399.889335731,4.47452377497343,53998
"139","2008","SVK","SK","Slovak Republic","Eastern","EU",18677.2927109318,5.57488636153474,55111
"140","2010","SVK","SK","Slovak Republic","Eastern","EU",16750.7974416083,5.87125610880706,54685
"141","2012","SVK","SK","Slovak Republic","Eastern","EU",17481.8954435252,1.89674227140716,54.28
"142","2014","SVK","SK","Slovak Republic","Eastern","EU",18674.3440568625,2.64158974610042,54
"143","2016","SVK","SK","Slovak Republic","Eastern","EU",16508.6703604932,2.13272778393984,53806
"144","2018","SVK","SK","Slovak Republic","Eastern","EU",19406.3475337924,3.76863150894924,53726
