"","year","country_code","code_2","country","region","eu_member","ggov_pro_cost"
"69","2012","ITA","IT","Italy","Southern","EU",22.15
"70","2014","ITA","IT","Italy","Southern","EU",22.06
"71","2016","ITA","IT","Italy","Southern","EU",21.54
"72","2018","ITA","IT","Italy","Southern","EU",21.37
"73","2008","LUX","LU","Luxembourg","Continental","EU",17.97
"74","2010","LUX","LU","Luxembourg","Continental","EU",19.6
"75","2012","LUX","LU","Luxembourg","Continental","EU",20.03
"76","2014","LUX","LU","Luxembourg","Continental","EU",19.45
"77","2016","LUX","LU","Luxembourg","Continental","EU",18.82
"78","2018","LUX","LU","Luxembourg","Continental","EU",19.48
"79","2008","NOR","NO","Norway","Nordic","Non-EU",21.8
"80","2010","NOR","NO","Norway","Nordic","Non-EU",25.13
"81","2012","NOR","NO","Norway","Nordic","Non-EU",24.41
"82","2014","NOR","NO","Norway","Nordic","Non-EU",25.75
"83","2016","NOR","NO","Norway","Nordic","Non-EU",28.67
"84","2018","NOR","NO","Norway","Nordic","Non-EU",27.45
"85","2008","POL","PL","Poland","Eastern","EU",21.42
"86","2010","POL","PL","Poland","Eastern","EU",21.79
"87","2012","POL","PL","Poland","Eastern","EU",20.55
"88","2014","POL","PL","Poland","Eastern","EU",20.84
"89","2016","POL","PL","Poland","Eastern","EU",20.31
"90","2018","POL","PL","Poland","Eastern","EU",20.05
"91","2008","PRT","PT","Portugal","Southern","EU",23.24
"92","2010","PRT","PT","Portugal","Southern","EU",24.23
"93","2012","PRT","PT","Portugal","Southern","EU",22.16
"94","2014","PRT","PT","Portugal","Southern","EU",22.04
"95","2016","PRT","PT","Portugal","Southern","EU",21.13
"96","2018","PRT","PT","Portugal","Southern","EU",20.39
"97","2008","SVK","SK","Slovak Republic","Eastern","EU",20.12
"98","2010","SVK","SK","Slovak Republic","Eastern","EU",22.86
"99","2012","SVK","SK","Slovak Republic","Eastern","EU",22.16
"100","2014","SVK","SK","Slovak Republic","Eastern","EU",22.98
"101","2016","SVK","SK","Slovak Republic","Eastern","EU",23.52
"102","2018","SVK","SK","Slovak Republic","Eastern","EU",23.16
"103","2008","ESP","ES","Spain","Southern","EU",20.78
"104","2010","ESP","ES","Spain","Southern","EU",22.85
"105","2012","ESP","ES","Spain","Southern","EU",22.35
"106","2014","ESP","ES","Spain","Southern","EU",22.01
"107","2016","ESP","ES","Spain","Southern","EU",21.3
"108","2018","ESP","ES","Spain","Southern","EU",20.81
"109","2008","GBR","GB","United Kingdom","Anglo-Saxon","EU",23.13
"110","2010","GBR","GB","United Kingdom","Anglo-Saxon","EU",24.48
"111","2012","GBR","GB","United Kingdom","Anglo-Saxon","EU",23.27
"112","2014","GBR","GB","United Kingdom","Anglo-Saxon","EU",22.34
"113","2016","GBR","GB","United Kingdom","Anglo-Saxon","EU",21.61
"114","2018","GBR","GB","United Kingdom","Anglo-Saxon","EU",21.18
"115","2008","EST","EE","Estonia","Eastern","EU",21.4
"116","2010","EST","EE","Estonia","Eastern","EU",23.05
"117","2012","EST","EE","Estonia","Eastern","EU",21.36
"118","2014","EST","EE","Estonia","Eastern","EU",22.08
"119","2016","EST","EE","Estonia","Eastern","EU",23.09
"120","2018","EST","EE","Estonia","Eastern","EU",22.62
"121","2008","SVN","SI","Slovenia","Eastern","EU",21.45
"122","2010","SVN","SI","Slovenia","Eastern","EU",24.28
"123","2012","SVN","SI","Slovenia","Eastern","EU",24.66
"124","2014","SVN","SI","Slovenia","Eastern","EU",22.95
"125","2016","SVN","SI","Slovenia","Eastern","EU",22.81
"126","2018","SVN","SI","Slovenia","Eastern","EU",22.05
"127","2008","LVA","LV","Latvia","Eastern","EU",23.09
"128","2010","LVA","LV","Latvia","Eastern","EU",22.78
"129","2012","LVA","LV","Latvia","Eastern","EU",21.34
"130","2014","LVA","LV","Latvia","Eastern","EU",21.77
"131","2016","LVA","LV","Latvia","Eastern","EU",21.91
"132","2018","LVA","LV","Latvia","Eastern","EU",21.76
"133","2008","LTU","LT","Lithuania","Eastern","EU",20.45
"134","2010","LTU","LT","Lithuania","Eastern","EU",22.09
"135","2012","LTU","LT","Lithuania","Eastern","EU",19.35
"136","2014","LTU","LT","Lithuania","Eastern","EU",18.75
"137","2016","LTU","LT","Lithuania","Eastern","EU",19.17
"138","2018","LTU","LT","Lithuania","Eastern","EU",18.34
